,Issue ID,Project ID,Classification,Screenshot,Urgency,Input Date,Deadline Theor,Deadline Real,Employee ID,Device ,Browser,Page,Contact ID,Request,Iteraciones,Iteraciones 30 dias,Not addressing historico,Sentiment
12,IPC100102,PC1001,Request change,0,Medium,2014-11-08,2015-09-08,2014-11-09,E2,Desktop,Chrome,True,COC1001,"We'd like to change the structure of the Resources section, to improve visual storytelling.",8.0,54,1,Neutral
13,IPC1001020,PC1001,Request change,0,Medium,2014-11-14,2015-09-08,2014-11-15,E2,Desktop,Chrome,True,COC1001,"We'd like to change the icons used in the value proposition list, in preparation for launch event.",4.0,37,1,Neutral
14,IPC1001021,PC1001,New item,0,Urgent,2015-06-25,2015-09-08,2015-06-26,E3,Desktop,Safari,True,COC1001,"Please add a modular layout editor, to meet regulatory compliance.",3.0,66,5,Neutral
15,IPC1001022,PC1001,Design issues,0,Medium,2015-03-02,2015-09-08,2015-03-05,E2,Desktop,Mozilla,True,COC1001,The button hierarchy [153] overemphasizes less important elements.,2.0,16,2,Negative
16,IPC1001023,PC1001,Copy issues,0,Urgent,2015-07-18,2015-09-08,2015-07-20,E1,Desktop,Chrome,True,COC1001,Please rewrite for clarity the ‘Contact Us’ headline — the current version feels too generic.,2.0,49,5,Negative
17,IPC1001024,PC1001,Copy issues,0,Medium,2015-05-20,2015-09-08,2015-05-22,E1,Desktop,Safari,True,COC1001,Please refocus the message in the CTA button label — the tone should feel more confident and less promotional.,4.0,53,3,Neutral
18,IPC1001025,PC1001,Copy issues,0,Medium,2015-03-22,2015-09-08,2015-03-24,E1,Desktop,Mozilla,True,COC1001,Please revise the Testimonials section intro — it currently duplicates info from another section.,3.0,9,2,Negative
19,IPC1001026,PC1001,Copy issues,0,Medium,2015-05-24,2015-09-08,2015-05-27,E1,Desktop,Safari,True,COC1001,Please make more actionable the form confirmation message — current phrasing doesn't perform well in tests.,2.0,49,3,Negative
20,IPC1001027,PC1001,Copy issues,0,Medium,2015-01-15,2015-09-08,2015-01-16,E1,Desktop,Chrome,True,COC1001,Please replace jargon in the main navigation labels — consider phrasing that implies urgency.,5.0,31,2,Neutral
21,IPC1001028,PC1001,Copy issues,0,Medium,2014-11-20,2015-09-08,2014-11-23,E1,Desktop,Chrome,True,COC1001,Please make more actionable the Testimonials section intro — it currently duplicates info from another section.,3.0,50,1,Negative
22,IPC1001029,PC1001,Request change,0,Urgent,2015-06-15,2015-09-08,2015-06-16,E2,Mobile,Chrome,True,COC1001,"We'd like to change the sequence of steps in the signup flow, in light of the new campaign assets.",8.0,62,5,Neutral
23,IPC100103,PC1001,Copy issues,0,Medium,2015-07-11,2015-09-08,2015-07-12,E1,Mobile,Chrome,True,COC1001,Please highlight user value in the newsletter signup copy — we're pivoting tone to be more conversational.,2.0,73,5,Positive
24,IPC1001030,PC1001,Copy issues,0,Medium,2015-04-20,2015-09-08,2015-04-21,E1,Desktop,Safari,True,COC1001,Please enhance the engagement of the tagline in the hero section — the current version feels too generic.,3.0,12,2,Negative
25,IPC1001031,PC1001,Copy issues,0,Medium,2015-06-10,2015-09-08,2015-06-11,E1,Desktop,Chrome,True,COC1001,Please simplify the SEO meta description — SEO team suggested including 'digital strategy'.,4.0,33,5,Neutral
26,IPC1001032,PC1001,Copy issues,0,Medium,2015-08-25,2015-09-08,2015-08-26,E1,Desktop,Safari,True,COC1001,Please refocus the message in the homepage hero title — we want it to sound more personal and direct.,2.0,33,5,Neutral
27,IPC1001033,PC1001,Copy issues,0,Medium,2015-09-09,2015-09-08,2015-09-12,E1,Desktop,Chrome,True,COC1001,Please remove buzzwords from the value proposition in the banner — SEO team suggested including 'digital strategy'.,4.0,37,5,Neutral
28,IPC1001034,PC1001,Request change,0,Medium,2015-05-10,2015-09-08,2015-05-13,E2,Desktop,Mozilla,True,COC1001,"We'd like to change the hover color of service cards, based on the latest wireframes.",6.0,37,3,Neutral
29,IPC1001035,PC1001,Design issues,0,Medium,2015-07-16,2015-09-08,2015-07-17,E2,Desktop,Mozilla,True,COC1001,The image usage on About page [167] isn't engaging enough visually.,3.0,51,5,Negative
30,IPC1001036,PC1001,Copy issues,0,Medium,2015-01-30,2015-09-08,2015-01-31,E1,Tablet,Safari,True,COC1001,Please refocus the message in the form confirmation message — current phrasing doesn't perform well in tests.,3.0,47,2,Negative
31,IPC1001037,PC1001,Not addressing,0,Medium,2014-12-09,2015-09-08,2014-12-11,E4,Desktop,Chrome,True,COC1001,We want to replace all hero images with animated GIFs. (ref 9912),1.0,42,2,Neutral
32,IPC1001038,PC1001,Design issues,0,Medium,2015-05-30,2015-09-08,2015-06-02,E2,Desktop,Safari,True,COC1001,The accessibility of font choices [406] detracts from the core messaging.,3.0,40,3,Negative
33,IPC1001039,PC1001,Request change,0,Medium,2015-04-30,2015-09-08,2015-05-01,E2,Desktop,Safari,True,COC1001,"We'd like to change the icons used in the value proposition list, even if it wasn't part of the original scope.",5.0,29,2,Neutral
34,IPC100104,PC1001,Copy issues,0,Medium,2014-10-27,2015-09-08,2014-10-29,E1,Tablet,Safari,True,COC1001,Please rewrite for clarity the tagline in the hero section — it currently duplicates info from another section.,4.0,36,1,Neutral
35,IPC1001040,PC1001,Copy issues,0,Medium,2015-07-27,2015-09-08,2015-07-29,E1,Desktop,Mozilla,True,COC1001,Please optimize for SEO the value proposition in the banner — it currently duplicates info from another section.,2.0,42,5,Negative
36,IPC1001041,PC1001,Design issues,0,Medium,2014-11-21,2015-09-08,2014-11-22,E2,Desktop,Mozilla,True,COC1001,The padding on Services section isn't engaging enough visually.,4.0,54,1,Negative
37,IPC1001042,PC1001,Request change,0,Medium,2015-02-07,2015-09-08,2015-02-10,E2,Tablet,Mozilla,True,COC1001,"We'd like to change the visual arrangement of the contact form, based on updated performance data.",4.0,54,2,Neutral
38,IPC1001043,PC1001,Design issues,0,Medium,2015-01-11,2015-09-08,2015-01-12,E2,Desktop,Safari,True,COC1001,The color usage in the footer [728] fails to build enough trust.,1.0,26,2,Negative
39,IPC1001044,PC1001,Copy issues,0,Urgent,2015-06-26,2015-09-08,2015-06-28,E1,Desktop,Mozilla,True,COC1001,Please enhance the engagement of the Services overview paragraph — we want it to sound more personal and direct.,4.0,70,5,Positive
40,IPC1001045,PC1001,Not addressing,0,Medium,2015-06-08,2015-09-08,2015-06-10,E4,Desktop,Safari,True,COC1001,Can you preload every page in advance to reduce wait time? (ref 8209),1.0,32,5,Neutral
41,IPC1001046,PC1001,Design issues,0,Medium,2015-01-06,2015-09-08,2015-01-09,E2,Tablet,Chrome,True,COC1001,The logo size could benefit from a cleaner aesthetic.,4.0,25,2,Positive
42,IPC1001047,PC1001,Design issues,0,Medium,2014-11-02,2015-09-08,2014-11-04,E2,Tablet,Mozilla,True,COC1001,The button hierarchy feels generic and unmemorable.,3.0,39,1,Negative
43,IPC1001048,PC1001,Design issues,0,Medium,2014-11-22,2015-09-08,2014-11-24,E2,Tablet,Mozilla,True,COC1001,The visual hierarchy on homepage isn't engaging enough visually.,3.0,57,1,Negative
44,IPC1001049,PC1001,Request change,0,Urgent,2015-06-24,2015-09-08,2015-06-26,E2,Desktop,Mozilla,True,COC1001,"We'd like to change the support section layout, as it no longer matches our tone.",5.0,63,5,Negative
45,IPC100105,PC1001,Copy issues,0,Medium,2015-08-08,2015-09-08,2015-08-11,E1,Mobile,Chrome,True,COC1001,Please change wording in the CTA button label — align this with what we say in the sales deck.,3.0,40,5,Neutral
46,IPC1001050,PC1001,Design issues,0,Low,2014-09-14,2015-09-08,2014-09-16,E2,Desktop,Safari,True,COC1001,The structure of content in modals creates cognitive overload.,3.0,15,0,Neutral
47,IPC1001051,PC1001,Copy issues,0,Medium,2015-06-13,2015-09-08,2015-06-15,E1,Desktop,Safari,True,COC1001,Please revise the Services overview paragraph — let's test a variation with a stronger call-to-action.,5.0,38,5,Neutral
48,IPC1001052,PC1001,Design issues,0,Medium,2015-04-24,2015-09-08,2015-04-25,E2,Desktop,Mozilla,True,COC1001,The design of the call-to-action strip doesn't clearly highlight key messages.,4.0,16,2,Negative
49,IPC1001053,PC1001,Design issues,1,Medium,2015-02-13,2015-09-08,2015-02-14,E2,Desktop,Safari,True,COC1001,The color palette makes the page feel too dense.,0.0,49,2,Negative
50,IPC1001054,PC1001,Request change,0,Urgent,2015-08-10,2015-09-08,2015-08-13,E2,Desktop,Chrome,True,COC1001,"We'd like to change the title of the Careers section, due to a late change from our leadership team.",8.0,40,5,Neutral
51,IPC1001055,PC1001,New item,0,Urgent,2015-07-10,2015-09-08,2015-07-12,E3,Desktop,Safari,True,COC1001,"Please add a animated brand story carousel, for better mobile-first experience.",8.0,78,5,Positive
52,IPC1001056,PC1001,Design issues,0,Medium,2015-04-22,2015-09-08,2015-04-24,E2,Desktop,Chrome,True,COC1001,The design of the lead capture form [280] fails to build enough trust.,2.0,12,2,Negative
53,IPC1001057,PC1001,Request change,0,Medium,2014-09-26,2015-09-08,2014-09-27,E2,Desktop,Chrome,True,COC1001,"We'd like to change the hover color of service cards, as it no longer matches our tone.",9.0,27,0,Negative
54,IPC1001058,PC1001,Request change,0,Medium,2014-11-23,2015-09-08,2014-11-25,E2,Desktop,Chrome,True,COC1001,"We'd like to change the visual arrangement of the contact form, in light of the new campaign assets.",10.0,62,1,Neutral
55,IPC1001059,PC1001,Design issues,0,Medium,2015-05-05,2015-09-08,2015-05-06,E2,Desktop,Chrome,True,COC1001,The style of secondary buttons [544] needs more breathing room.,5.0,34,2,Neutral
56,IPC100106,PC1001,Copy issues,0,Medium,2015-04-06,2015-09-08,2015-04-09,E1,Desktop,Chrome,True,COC1001,Please enhance the engagement of the blog post summaries — the current version feels too generic.,3.0,9,2,Negative
57,IPC1001060,PC1001,Design issues,0,Medium,2015-01-15,2015-09-08,2015-01-18,E2,Desktop,Chrome,True,COC1001,The color palette pushes the main CTA too far down the page.,3.0,31,2,Negative
58,IPC1001061,PC1001,Design issues,0,Medium,2015-09-06,2015-09-08,2015-09-08,E2,Desktop,Chrome,True,COC1001,The contrast levels in the hero section [342] detracts from the core messaging.,4.0,36,5,Negative
59,IPC1001062,PC1001,New item,1,Medium,2015-07-25,2015-09-08,2015-07-26,E3,Tablet,Safari,True,COC1001,"Please add a comparison table between product tiers, to support conversion goals.",13.0,47,5,Neutral
60,IPC1001063,PC1001,Not addressing,0,Medium,2015-05-09,2015-09-08,2015-05-10,E4,Desktop,Chrome,True,COC1001,Let’s reintroduce the old version of the homepage from 2022. (ref 5041),0.0,31,3,Neutral
61,IPC1001064,PC1001,Design issues,0,Medium,2014-12-08,2015-09-08,2014-12-11,E2,Desktop,Chrome,True,COC1001,The accessibility of font choices [405] creates confusion for users.,3.0,49,1,Negative
62,IPC1001065,PC1001,Copy issues,1,Medium,2015-05-20,2015-09-08,2015-05-21,E1,Desktop,Safari,True,COC1001,Please update to reflect our new tone the main navigation labels — it currently duplicates info from another section.,2.0,53,3,Neutral
63,IPC1001066,PC1001,Design issues,0,Medium,2015-04-21,2015-09-08,2015-04-24,E2,Desktop,Safari,True,COC1001,The design of the lead capture form has poor contrast ratios.,1.0,13,2,Negative
64,IPC1001067,PC1001,Design issues,0,Medium,2014-10-24,2015-09-08,2014-10-26,E2,Desktop,Chrome,True,COC1001,The structure of the newsletter popup should use more consistent iconography.,5.0,40,0,Neutral
65,IPC1001068,PC1001,Copy issues,0,Medium,2015-09-12,2015-09-08,2015-09-13,E1,Mobile,Chrome,True,COC1001,Please optimize for SEO the About section intro — we want it to sound more personal and direct.,5.0,34,5,Positive
66,IPC1001069,PC1001,Design issues,0,Medium,2015-03-25,2015-09-08,2015-03-28,E2,Desktop,Chrome,True,COC1001,The tooltip styling [795] creates cognitive overload.,3.0,12,2,Negative
67,IPC100107,PC1001,Design issues,0,Urgent,2015-08-14,2015-09-08,2015-08-17,E2,Desktop,Safari,True,COC1001,The image usage on About page doesn't align with our brand guidelines.,6.0,44,5,Negative
68,IPC1001070,PC1001,Copy issues,1,Medium,2014-11-07,2015-09-08,2014-11-09,E1,Desktop,Chrome,True,COC1001,Please revise the newsletter signup copy — consider phrasing that implies urgency.,4.0,46,1,Neutral
69,IPC1001071,PC1001,Copy issues,1,Medium,2015-01-20,2015-09-08,2015-01-22,E1,Desktop,Edge,True,COC1001,Please change wording in the newsletter signup copy — current phrasing doesn't perform well in tests.,3.0,32,2,Negative
70,IPC1001072,PC1001,Request change,0,Urgent,2015-06-30,2015-09-08,2015-07-01,E2,Desktop,Safari,True,COC1001,"We'd like to change the mobile header layout, based on the latest wireframes.",8.0,72,5,Neutral
71,IPC1001073,PC1001,Copy issues,0,Medium,2014-10-14,2015-09-08,2014-10-16,E1,Desktop,Mozilla,True,COC1001,Please update to reflect our new tone the feature highlights under 'Why Choose Us' — consider phrasing that implies urgency.,5.0,48,0,Neutral
72,IPC1001074,PC1001,Copy issues,0,Medium,2014-12-15,2015-09-08,2014-12-16,E1,Desktop,Chrome,True,COC1001,Please remove buzzwords from the CTA button label — SEO team suggested including 'digital strategy'.,3.0,41,2,Neutral
73,IPC1001075,PC1001,Copy issues,0,Medium,2015-01-26,2015-09-08,2015-01-28,E1,Desktop,Mozilla,True,COC1001,Please make more actionable the newsletter signup copy — consider phrasing that implies urgency.,5.0,42,2,Neutral
74,IPC1001076,PC1001,Design issues,0,Medium,2015-01-16,2015-09-08,2015-01-17,E2,Tablet,Edge,True,COC1001,The presentation of numbers/statistics is not accessible for users with visual impairments.,1.0,32,2,Negative
75,IPC1001077,PC1001,Bug fix,0,Urgent,2014-11-18,2015-09-08,2014-11-19,E3,Tablet,Safari,True,COC1001,The interactive chart in the insights section generates console errors in Chrome DevTools.,10.0,47,1,Neutral
76,IPC1001078,PC1001,Copy issues,1,Medium,2015-05-19,2015-09-08,2015-05-21,E1,Mobile,Edge,True,COC1001,Please align better with our brand voice in the CTA button label — it should mention our core differentiator earlier.,4.0,41,3,Neutral
77,IPC1001079,PC1001,Design issues,1,Medium,2015-08-23,2015-09-08,2015-08-24,E2,Mobile,Chrome,True,COC1001,The illustration on the homepage [576] needs more breathing room.,3.0,38,5,Neutral
78,IPC100108,PC1001,Design issues,0,Medium,2015-02-02,2015-09-08,2015-02-05,E2,Desktop,Mozilla,True,COC1001,The design of the lead capture form [264] should be redesigned for better readability.,4.0,51,2,Neutral
79,IPC1001080,PC1001,Design issues,0,Medium,2014-10-18,2015-09-08,2014-10-20,E2,Desktop,Chrome,True,COC1001,The imagery used in the mission statement overemphasizes less important elements.,0.0,33,0,Negative
80,IPC1001081,PC1001,Copy issues,0,Medium,2015-07-30,2015-09-08,2015-08-01,E1,Tablet,Mozilla,True,COC1001,Please remove buzzwords from the footer legal copy — it should mention our core differentiator earlier.,3.0,45,5,Neutral
81,IPC1001082,PC1001,Design issues,0,Urgent,2015-06-16,2015-09-08,2015-06-18,E2,Tablet,Mozilla,True,COC1001,The icon usage in contact section feels disconnected from the rest of the site.,4.0,66,5,Negative
82,IPC1001083,PC1001,Not addressing,0,Medium,2015-06-01,2015-09-08,2015-06-03,E4,Tablet,Safari,True,COC1001,Can you remove the navigation bar entirely on mobile devices? (ref 6828),1.0,36,4,Neutral
83,IPC1001084,PC1001,Request change,0,Medium,2015-05-20,2015-09-08,2015-05-22,E2,Desktop,Chrome,True,COC1001,"We'd like to change the layout of the Services page, to better align with current brand priorities.",6.0,53,3,Neutral
84,IPC1001085,PC1001,Copy issues,0,Medium,2015-06-24,2015-09-08,2015-06-26,E1,Mobile,Safari,True,COC1001,Please refocus the message in the SEO meta description — we're pivoting tone to be more conversational.,3.0,63,5,Neutral
85,IPC1001086,PC1001,Request change,0,Medium,2015-08-24,2015-09-08,2015-08-25,E2,Desktop,Safari,True,COC1001,"We'd like to change the design of the newsletter popup, to reduce friction at key touchpoints.",6.0,44,5,Neutral
86,IPC1001087,PC1001,Design issues,0,Medium,2015-01-22,2015-09-08,2015-01-24,E2,Desktop,Safari,True,COC1001,The form layout [114] doesn't reflect our updated brand values.,5.0,41,2,Negative
87,IPC1001088,PC1001,Design issues,0,Medium,2015-03-06,2015-09-08,2015-03-09,E2,Desktop,Chrome,True,COC1001,The button hierarchy [132] feels disconnected from the rest of the site.,4.0,16,2,Negative
88,IPC1001089,PC1001,Copy issues,1,Low,2014-09-18,2015-09-08,2014-09-19,E1,Tablet,Chrome,True,COC1001,Please revise the CTA button label — aim for clarity over cleverness.,3.0,18,0,Neutral
89,IPC100109,PC1001,Request change,0,Medium,2014-10-12,2015-09-08,2014-10-13,E2,Desktop,Safari,True,COC1001,"We'd like to change the download link style in resource hub, based on the latest wireframes.",9.0,43,0,Neutral
90,IPC1001090,PC1001,Design issues,0,Medium,2014-12-25,2015-09-08,2014-12-27,E2,Desktop,Chrome,True,COC1001,The treatment of brand imagery doesn’t pass accessibility color tests.,4.0,25,2,Negative
91,IPC1001091,PC1001,Copy issues,0,Medium,2014-12-04,2015-09-08,2014-12-06,E1,Desktop,Mozilla,True,COC1001,Please align better with our brand voice in the value proposition in the banner — SEO team suggested including 'digital strategy'.,4.0,53,1,Positive
92,IPC1001092,PC1001,Request change,0,Medium,2014-12-19,2015-09-08,2014-12-21,E2,Desktop,Chrome,True,COC1001,"We'd like to change the positioning of the testimonial module, to accommodate new messaging.",6.0,37,2,Neutral
93,IPC1001093,PC1001,Design issues,0,Medium,2015-06-10,2015-09-08,2015-06-12,E2,Tablet,Chrome,True,COC1001,The image usage on About page lacks visual appeal.,3.0,33,5,Negative
94,IPC1001094,PC1001,Request change,1,Medium,2014-10-10,2015-09-08,2014-10-11,E2,Tablet,Chrome,True,COC1001,"We'd like to change the imagery used in the About Us section, as it no longer matches our tone.",7.0,34,0,Negative
95,IPC1001095,PC1001,Copy issues,0,Medium,2015-01-28,2015-09-08,2015-01-31,E1,Tablet,Mozilla,True,COC1001,Please revise the footer legal copy — consider phrasing that implies urgency.,2.0,44,2,Neutral
96,IPC1001096,PC1001,Copy issues,0,Medium,2014-12-22,2015-09-08,2014-12-25,E1,Desktop,Chrome,True,COC1001,Please refocus the message in the footer legal copy — let's test a variation with a stronger call-to-action.,4.0,34,2,Neutral
97,IPC1001097,PC1001,Design issues,0,Urgent,2015-07-16,2015-09-08,2015-07-17,E2,Tablet,Chrome,True,COC1001,The layout of the blog cards creates cognitive overload.,4.0,51,5,Neutral
98,IPC1001098,PC1001,Not addressing,0,Medium,2014-10-25,2015-09-08,2014-10-28,E4,Desktop,Chrome,True,COC1001,Can we switch all body fonts to Comic Sans for internal testing? (ref 2775),1.0,41,1,Neutral
99,IPC1001099,PC1001,Request change,0,Urgent,2015-06-20,2015-09-08,2015-06-23,E2,Desktop,Chrome,True,COC1001,"We'd like to change the mobile header layout, due to user feedback we just received.",7.0,57,5,Neutral
100,IPC100201,PC1002,Copy issues,0,Low,2014-04-19,2015-09-08,2014-04-20,E1,Tablet,Edge,True,COC1001,Please highlight user value in the ‘Contact Us’ headline — we're pivoting tone to be more conversational.,2.0,27,0,Positive
101,IPC1002010,PC1002,Design issues,0,Medium,2015-03-09,2015-09-08,2015-03-10,E2,Tablet,Safari,True,COC1001,The design of the loading animation isn't engaging enough visually.,3.0,29,5,Negative
102,IPC10020100,PC1002,Copy issues,0,Medium,2014-06-20,2015-09-08,2014-06-22,E1,Desktop,Chrome,True,COC1001,Please update to reflect our new tone the footer legal copy — align this with what we say in the sales deck.,3.0,39,3,Neutral
103,IPC1002011,PC1002,Copy issues,0,Medium,2014-08-26,2015-09-08,2014-08-29,E1,Desktop,Edge,True,COC1001,Please make more actionable the Testimonials section intro — we want it to sound more personal and direct.,3.0,39,4,Positive
104,IPC1002012,PC1002,Copy issues,0,Medium,2014-08-15,2015-09-08,2014-08-16,E1,Desktop,Edge,True,COC1001,Please rewrite for clarity the newsletter signup copy — the current version feels too generic.,3.0,38,4,Negative
105,IPC1002013,PC1002,New item,0,Urgent,2014-10-30,2015-09-08,2014-11-02,E3,Desktop,Mozilla,True,COC1001,"Please add a interactive onboarding walkthrough, based on sales team input.",11.0,32,4,Neutral
106,IPC1002014,PC1002,Copy issues,0,Urgent,2014-08-24,2015-09-08,2014-08-27,E1,Tablet,Chrome,True,COC1001,Please simplify the ‘Contact Us’ headline — aim for clarity over cleverness.,5.0,40,4,Neutral
107,IPC1002015,PC1002,Copy issues,0,Urgent,2014-05-10,2015-09-08,2014-05-13,E1,Desktop,Mozilla,True,COC1001,Please highlight user value in the Testimonials section intro — let's test a variation with a stronger call-to-action.,4.0,79,0,Neutral
108,IPC1002016,PC1002,Copy issues,0,Medium,2015-02-16,2015-09-08,2015-02-18,E1,Desktop,Chrome,True,COC1001,Please change wording in the feature highlights under 'Why Choose Us' — use simpler language for broader understanding.,4.0,28,5,Neutral
109,IPC1002017,PC1002,Request change,0,Medium,2014-10-04,2015-09-08,2014-10-05,E2,Desktop,Chrome,True,COC1001,"We'd like to change the download link style in resource hub, based on updated performance data.",7.0,48,4,Neutral
110,IPC1002018,PC1002,Copy issues,0,Medium,2015-02-01,2015-09-08,2015-02-03,E1,Desktop,Chrome,True,COC1001,Please rewrite for clarity the CTA button label — align this with what we say in the sales deck.,2.0,29,5,Neutral
111,IPC1002019,PC1002,Design issues,0,Medium,2015-03-02,2015-09-08,2015-03-04,E2,Desktop,Chrome,True,COC1001,The presentation of numbers/statistics [805] should use more consistent iconography.,3.0,31,5,Neutral
112,IPC100202,PC1002,Design issues,0,Medium,2014-08-28,2015-09-08,2014-08-30,E2,Desktop,Mozilla,True,COC1001,The logo size [66] has poor contrast ratios.,4.0,43,4,Negative
113,IPC1002020,PC1002,Design issues,0,Medium,2014-11-11,2015-09-08,2014-11-13,E2,Desktop,Chrome,True,COC1001,The typographic treatment of headers needs more breathing room.,8.0,42,4,Neutral
114,IPC1002021,PC1002,Design issues,0,Medium,2014-12-09,2015-09-08,2014-12-12,E2,Tablet,Safari,True,COC1001,The visual hierarchy on homepage undermines trust due to visual inconsistency.,3.0,40,4,Negative
115,IPC1002022,PC1002,New item,1,Urgent,2015-01-20,2015-09-08,2015-01-22,E3,Desktop,Chrome,True,COC1001,"Please add a case study filter by sector, to address stakeholder concerns.",11.0,44,5,Neutral
116,IPC1002023,PC1002,Request change,0,Medium,2014-12-23,2015-09-08,2014-12-25,E2,Desktop,Mozilla,True,COC1001,"We'd like to change the title of the Careers section, due to user feedback we just received.",7.0,29,5,Neutral
117,IPC1002024,PC1002,Request change,0,Medium,2014-06-27,2015-09-08,2014-06-29,E2,Desktop,Safari,True,COC1001,"We'd like to change the imagery used in the About Us section, due to user feedback we just received.",5.0,44,3,Neutral
118,IPC1002025,PC1002,Design issues,0,Medium,2014-06-03,2015-09-08,2014-06-06,E2,Desktop,Chrome,True,COC1001,The padding on Services section [197] should use more consistent iconography.,6.0,41,2,Neutral
119,IPC1002026,PC1002,Request change,0,Urgent,2014-09-23,2015-09-08,2014-09-24,E2,Desktop,Safari,True,COC1001,"We'd like to change the imagery used in the About Us section, to make it more intuitive for new users.",9.0,66,4,Positive
120,IPC1002027,PC1002,Copy issues,0,Medium,2014-04-29,2015-09-08,2014-04-30,E1,Tablet,Mozilla,True,COC1001,Please remove buzzwords from the SEO meta description — align this with what we say in the sales deck.,4.0,50,0,Neutral
121,IPC1002028,PC1002,Copy issues,0,Medium,2015-02-05,2015-09-08,2015-02-08,E1,Tablet,Edge,True,COC1001,Please emphasize benefits over features the SEO meta description — current phrasing doesn't perform well in tests.,3.0,32,5,Negative
122,IPC1002029,PC1002,Design issues,0,Medium,2015-02-23,2015-09-08,2015-02-25,E2,Tablet,Safari,True,COC1001,The image usage on About page [175] doesn’t respect the established grid system.,6.0,28,5,Negative
123,IPC100203,PC1002,Design issues,0,Urgent,2014-09-18,2015-09-08,2014-09-21,E2,Desktop,Mozilla,True,COC1001,The icon usage in contact section [925] lacks design harmony with the rest of the flow.,1.0,61,4,Negative
124,IPC1002030,PC1002,Copy issues,0,Medium,2014-04-13,2015-09-08,2014-04-16,E1,Tablet,Safari,True,COC1001,Please highlight user value in the feature highlights under 'Why Choose Us' — consider phrasing that implies urgency.,4.0,25,0,Neutral
125,IPC1002031,PC1002,Copy issues,0,Medium,2014-07-24,2015-09-08,2014-07-26,E1,Desktop,Edge,True,COC1001,Please align better with our brand voice in the tagline in the hero section — current phrasing doesn't perform well in tests.,6.0,34,3,Negative
126,IPC1002032,PC1002,Design issues,0,Medium,2014-04-08,2015-09-08,2014-04-10,E2,Desktop,Chrome,True,COC1001,The color usage in the footer lacks design harmony with the rest of the flow.,2.0,5,0,Negative
127,IPC1002033,PC1002,Copy issues,0,Medium,2014-08-02,2015-09-08,2014-08-05,E1,Desktop,Mozilla,True,COC1001,Please replace jargon in the About section intro — we want it to sound more personal and direct.,3.0,31,3,Neutral
128,IPC1002034,PC1002,Request change,0,Medium,2014-07-11,2015-09-08,2014-07-14,E2,Desktop,Mozilla,True,COC1001,"We'd like to change the branding of login page, after review with UX team.",8.0,36,3,Neutral
